!SOT
8049074!push ebp!RR_ebp_bfd65198_esp_bfd6505c!WM_bfd65058_4_bfd65198!WR_esp_bfd65058
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd650ec_1_b7!RR_ebx_bfd6508a_ecx_62!WR_edx_b7
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87043_1_61!RR_dl_b7_ebp_8d8703c_esi_7!WM_8d87043_1_d6
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_7!RR_esp_bfd65048!WM_bfd65048_2_8
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_8!RR_esp_bfd65048!WR_edx_8
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_8_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_8!WR_edx_9
80490ac!movzx edx, dl!RR_dl_9!WR_edx_9
80490af!mov edi, edx!RR_edx_9!WR_edi_9
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_9!WR_edx_bfd65093
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65093_1_57!RR_edx_bfd65093!WR_ecx_57
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_e8!RR_cl_57_esp_bfd65048!WM_bfd6504b_1_3f
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_3f!RR_esp_bfd65048!WR_esi_3f
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_3f!WR_esi_bfd650c9
80490c1!movzx eax, byte ptr [esi]!RM_bfd650c9_1_5e!RR_esi_bfd650c9!WR_eax_5e
80490c4!mov byte ptr [edx], al!RR_al_5e_edx_bfd65093!WM_bfd65093_1_5e
80490c6!mov byte ptr [esi], cl!RR_cl_57_esi_bfd650c9!WM_bfd650c9_1_57
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_8!RR_esp_bfd65048!WR_esi_8
80490cc!add cl, byte ptr [edx]!RM_bfd65093_1_5e!RR_cl_57_edx_bfd65093!WR_cl_b5
80490ce!movzx ecx, cl!RR_cl_b5!WR_ecx_b5
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd6513f_1_4e!RR_ebx_bfd6508a_ecx_b5!WR_edx_4e
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87044_1_69!RR_dl_4e_ebp_8d8703c_esi_8!WM_8d87044_1_27
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_8!RR_esp_bfd65048!WM_bfd65048_2_9
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_9!RR_esp_bfd65048!WR_edx_9
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_9_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_9!WR_edx_a
80490ac!movzx edx, dl!RR_dl_a!WR_edx_a
80490af!mov edi, edx!RR_edx_a!WR_edi_a
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_a!WR_edx_bfd65094
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65094_1_92!RR_edx_bfd65094!WR_ecx_92
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_3f!RR_cl_92_esp_bfd65048!WM_bfd6504b_1_d1
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_d1!RR_esp_bfd65048!WR_esi_d1
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_d1!WR_esi_bfd6515b
80490c1!movzx eax, byte ptr [esi]!RM_bfd6515b_1_88!RR_esi_bfd6515b!WR_eax_88
80490c4!mov byte ptr [edx], al!RR_al_88_edx_bfd65094!WM_bfd65094_1_88
80490c6!mov byte ptr [esi], cl!RR_cl_92_esi_bfd6515b!WM_bfd6515b_1_92
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_9!RR_esp_bfd65048!WR_esi_9
80490cc!add cl, byte ptr [edx]!RM_bfd65094_1_88!RR_cl_92_edx_bfd65094!WR_cl_1a
80490ce!movzx ecx, cl!RR_cl_1a!WR_ecx_1a
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd650a4_1_b8!RR_ebx_bfd6508a_ecx_1a!WR_edx_b8
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87045_1_6e!RR_dl_b8_ebp_8d8703c_esi_9!WM_8d87045_1_d6
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_9!RR_esp_bfd65048!WM_bfd65048_2_a
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_a!RR_esp_bfd65048!WR_edx_a
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_a_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_a!WR_edx_b
80490ac!movzx edx, dl!RR_dl_b!WR_edx_b
80490af!mov edi, edx!RR_edx_b!WR_edi_b
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_b!WR_edx_bfd65095
