!SOT
80487df!xor eax, edx!RR_eax_df20ae4a_edx_98e3b270!WR_eax_47c31c3a
80487e1!sub dword ptr [ebp-0x24], eax!RM_bf89a484_4_abb1d00d!RR_eax_47c31c3a_ebp_bf89a4a8!WM_bf89a484_4_63eeb3d3
80487e4!mov eax, dword ptr [ebp-0x14]!RM_bf89a494_4_9e3779b9!RR_ebp_bf89a4a8!WR_eax_9e3779b9
80487e7!sub dword ptr [ebp-0x1c], eax!RM_bf89a48c_4_4e11503c!RR_eax_9e3779b9_ebp_bf89a4a8!WM_bf89a48c_4_afd9d683
80487ea!add dword ptr [ebp-0x18], 0x1!RM_bf89a490_4_4!RR_ebp_bf89a4a8!WM_bf89a490_4_5
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_5!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_63eeb3d3!RR_ebp_bf89a4a8!WR_eax_63eeb3d3
80487a5!shl eax, 0x4!RR_eax_63eeb3d3!WR_eax_3eeb3d30
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_3eeb3d30_ebp_bf89a4a8!WR_eax_1d98fc13
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_afd9d683!RR_ebp_bf89a4a8!WR_edx_afd9d683
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_63eeb3d3!RR_ebp_bf89a4a8!WR_ecx_63eeb3d3
80487b1!add edx, ecx!RR_ecx_63eeb3d3_edx_afd9d683!WR_edx_13c88a56
80487b3!xor edx, eax!RR_eax_1d98fc13_edx_13c88a56!WR_edx_e507645
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_63eeb3d3!RR_ebp_bf89a4a8!WR_eax_63eeb3d3
80487b8!shr eax, 0x5!RR_eax_63eeb3d3!WR_eax_31f759e
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_31f759e_ebp_bf89a4a8!WR_eax_e1cd3482
80487be!xor eax, edx!RR_eax_e1cd3482_edx_e507645!WR_eax_ef9d42c7
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_e5ded05!RR_eax_ef9d42c7_ebp_bf89a4a8!WM_bf89a488_4_1ec0aa3e
80487c3!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_1ec0aa3e!RR_ebp_bf89a4a8!WR_eax_1ec0aa3e
80487c6!shl eax, 0x4!RR_eax_1ec0aa3e!WR_eax_ec0aa3e0
80487c9!add eax, dword ptr [ebp-0x10]!RM_bf89a498_4_deadbee1!RR_eax_ec0aa3e0_ebp_bf89a4a8!WR_eax_cab862c1
80487cc!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_afd9d683!RR_ebp_bf89a4a8!WR_edx_afd9d683
80487cf!mov ecx, dword ptr [ebp-0x20]!RM_bf89a488_4_1ec0aa3e!RR_ebp_bf89a4a8!WR_ecx_1ec0aa3e
80487d2!add edx, ecx!RR_ecx_1ec0aa3e_edx_afd9d683!WR_edx_ce9a80c1
80487d4!xor edx, eax!RR_eax_cab862c1_edx_ce9a80c1!WR_edx_422e200
80487d6!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_1ec0aa3e!RR_ebp_bf89a4a8!WR_eax_1ec0aa3e
80487d9!shr eax, 0x5!RR_eax_1ec0aa3e!WR_eax_f60551
80487dc!add eax, dword ptr [ebp-0xc]!RM_bf89a49c_4_deadbee2!RR_eax_f60551_ebp_bf89a4a8!WR_eax_dfa3c433
80487df!xor eax, edx!RR_eax_dfa3c433_edx_422e200!WR_eax_db812633
80487e1!sub dword ptr [ebp-0x24], eax!RM_bf89a484_4_63eeb3d3!RR_eax_db812633_ebp_bf89a4a8!WM_bf89a484_4_886d8da0
80487e4!mov eax, dword ptr [ebp-0x14]!RM_bf89a494_4_9e3779b9!RR_ebp_bf89a4a8!WR_eax_9e3779b9
80487e7!sub dword ptr [ebp-0x1c], eax!RM_bf89a48c_4_afd9d683!RR_eax_9e3779b9_ebp_bf89a4a8!WM_bf89a48c_4_11a25cca
80487ea!add dword ptr [ebp-0x18], 0x1!RM_bf89a490_4_5!RR_ebp_bf89a4a8!WM_bf89a490_4_6
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_6!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_886d8da0!RR_ebp_bf89a4a8!WR_eax_886d8da0
80487a5!shl eax, 0x4!RR_eax_886d8da0!WR_eax_86d8da00
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_86d8da00_ebp_bf89a4a8!WR_eax_658698e3
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_11a25cca!RR_ebp_bf89a4a8!WR_edx_11a25cca
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_886d8da0!RR_ebp_bf89a4a8!WR_ecx_886d8da0
80487b1!add edx, ecx!RR_ecx_886d8da0_edx_11a25cca!WR_edx_9a0fea6a
80487b3!xor edx, eax!RR_eax_658698e3_edx_9a0fea6a!WR_edx_ff897289
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_886d8da0!RR_ebp_bf89a4a8!WR_eax_886d8da0
80487b8!shr eax, 0x5!RR_eax_886d8da0!WR_eax_4436c6d
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_4436c6d_ebp_bf89a4a8!WR_eax_e2f12b51
80487be!xor eax, edx!RR_eax_e2f12b51_edx_ff897289!WR_eax_1d7859d8
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_1ec0aa3e!RR_eax_1d7859d8_ebp_bf89a4a8!WM_bf89a488_4_1485066
80487c3!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_1485066!RR_ebp_bf89a4a8!WR_eax_1485066
80487c6!shl eax, 0x4!RR_eax_1485066!WR_eax_14850660
80487c9!add eax, dword ptr [ebp-0x10]!RM_bf89a498_4_deadbee1!RR_eax_14850660_ebp_bf89a4a8!WR_eax_f332c541
80487cc!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_11a25cca!RR_ebp_bf89a4a8!WR_edx_11a25cca
80487cf!mov ecx, dword ptr [ebp-0x20]!RM_bf89a488_4_1485066!RR_ebp_bf89a4a8!WR_ecx_1485066
80487d2!add edx, ecx!RR_ecx_1485066_edx_11a25cca!WR_edx_12eaad30
80487d4!xor edx, eax!RR_eax_f332c541_edx_12eaad30!WR_edx_e1d86871
80487d6!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_1485066!RR_ebp_bf89a4a8!WR_eax_1485066
80487d9!shr eax, 0x5!RR_eax_1485066!WR_eax_a4283
80487dc!add eax, dword ptr [ebp-0xc]!RM_bf89a49c_4_deadbee2!RR_eax_a4283_ebp_bf89a4a8!WR_eax_deb80165
80487df!xor eax, edx!RR_eax_deb80165_edx_e1d86871!WR_eax_3f606914
