!SOT
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_c_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_c!WR_edx_d
8049333!movzx edx, dl!RR_dl_d!WR_edx_d
8049336!mov ebp, edx!RR_edx_d!WR_ebp_d
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_d!WR_edx_bfec3c07
804933a!movzx ecx, byte ptr [edx]!RM_bfec3c07_1_f3!RR_edx_bfec3c07!WR_ecx_f3
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_21!RR_cl_f3_esp_bfec3bb8!WM_bfec3bbb_1_14
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_14!RR_esp_bfec3bb8!WR_edi_14
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_14!WR_edi_bfec3c0e
8049348!movzx eax, byte ptr [edi]!RM_bfec3c0e_1_f9!RR_edi_bfec3c0e!WR_eax_f9
804934b!mov byte ptr [edx], al!RR_al_f9_edx_bfec3c07!WM_bfec3c07_1_f9
804934d!mov byte ptr [edi], cl!RR_cl_f3_edi_bfec3c0e!WM_bfec3c0e_1_f3
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_c!RR_esp_bfec3bb8!WR_edi_c
8049353!add cl, byte ptr [edx]!RM_bfec3c07_1_f9!RR_cl_f3_edx_bfec3c07!WR_cl_ec
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_c!RR_esp_bfec3bb8!WM_bfec3bb8_2_d
804935a!movzx ecx, cl!RR_cl_ec!WR_ecx_ec
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3ce6_1_9a!RR_ebx_bfec3bfa_ecx_ec!WR_edx_9a
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0048_1_73!RR_dl_9a_esi_90b003c_edi_c!WM_90b0048_1_e9
